.	02	000000
..	01	000000
r0	24	000000
r1	24	000001
r2	24	000002
r3	24	000003
r4	24	000004
r5	24	000005
sp	24	000006
pc	24	000007
mov	13	010000
movb	13	110000
cmp	13	020000
cmpb	13	120000
bit	13	030000
bitb	13	130000
bic	13	040000
bicb	13	140000
bis	13	050000
bisb	13	150000
add	13	060000
sub	13	160000
br	06	000400
bne	06	001000
beq	06	001400
bge	06	002000
blt	06	002400
bgt	06	003000
ble	06	003400
bpl	06	100000
bmi	06	100400
bhi	06	101000
blos	06	101400
bvc	06	102000
bvs	06	102400
bhis	06	103000
bec	06	103000
bcc	06	103000
blo	06	103400
bcs	06	103400
bes	06	103400
jbr	35	000400
jne	37	001000
jeq	37	001400
jge	37	002000
jlt	37	002400
jgt	37	003000
jle	37	003400
jpl	37	100000
jmi	37	100400
jhi	37	101000
jlos	37	101400
jvc	37	102000
jvs	37	102400
jhis	37	103000
jec	37	103000
jcc	37	103000
jlo	37	103400
jcs	37	103400
jes	37	103400
clr	15	005000
clrb	15	105000
com	15	005100
comb	15	105100
inc	15	005200
incb	15	105200
dec	15	005300
decb	15	105300
neg	15	005400
negb	15	105400
adc	15	005500
adcb	15	105500
sbc	15	005600
sbcb	15	105600
tst	15	005700
tstb	15	105700
ror	15	006000
rorb	15	106000
rol	15	006100
rolb	15	106100
asr	15	006200
asrb	15	106200
asl	15	006300
aslb	15	106300
jmp	15	000100
swab	15	000300
jsr	07	004000
rts	10	000200
sys	11	104400
clc	01	000241
clv	01	000242
clz	01	000244
cln	01	000250
sec	01	000261
sev	01	000262
sez	01	000264
sen	01	000270
cvcc	01	170000
setf	01	170001
setd	01	170011
seti	01	170002
setl	01	170012
clrf	15	170400
negf	15	170700
absf	15	170600
tstf	15	170500
movf	12	172400
movif	14	177000
movfi	05	175400
movof	14	177400
movfo	05	176000
addf	14	172000
subf	14	173000
mulf	14	171000
divf	14	174400
cmpf	14	173400
modf	14	171400
movie	14	176400
movei	05	175000
ldfps	15	170100
stfps	15	170200
fr0	24	000000
fr1	24	000001
fr2	24	000002
fr3	24	000003
fr4	24	000004
fr5	24	000005
als	30	072000
alsc	30	073000
mpy	30	070000
mul	30	070000
div	30	071000
ash	30	072000
ashc	30	073000
dvd	30	071000
xor	07	074000
sxt	15	006700
mark	11	006400
sob	31	077000
.byte	16	000000
.even	20	000000
.if	21	000000
.endif	22	000000
.globl	23	000000
.text	25	000000
.data	26	000000
.bss	27	000000
.comm	32	000000
.word	36	000000
